iter	Logloss
0	0.6040301168
1	0.5347266743
2	0.4807090425
3	0.4400347386
4	0.4091498063
5	0.3859874648
6	0.3662611229
7	0.3511926953
8	0.3406353199
9	0.3324356903
10	0.3248415566
11	0.318414474
12	0.3136767829
13	0.309672339
14	0.307045468
15	0.3039653891
16	0.3018686824
17	0.2995846119
18	0.297686315
19	0.2961433809
20	0.2947542437
21	0.2938906764
22	0.2930249315
23	0.2921870424
24	0.2913065003
25	0.2905789251
26	0.2901430788
27	0.2898869054
28	0.2890836509
29	0.288699942
30	0.2883042573
31	0.2882708013
32	0.2879770556
33	0.2876423997
34	0.2876092327
35	0.2870420144
36	0.2865793252
37	0.2862096794
38	0.2857701389
39	0.2852784879
40	0.2847977547
41	0.2845610063
42	0.2842213544
43	0.2838232875
44	0.283523438
45	0.2832388539
46	0.2828734878
47	0.2826153257
48	0.2824383796
49	0.282338732
50	0.2822876063
51	0.2822259492
52	0.2818252418
53	0.2817308579
54	0.2815299616
55	0.2813890011
56	0.2811151856
57	0.280966578
58	0.280732015
59	0.2805548175
60	0.2803540043
61	0.2801558315
62	0.2799798958
63	0.2798941899
64	0.2797373754
65	0.2794019477
66	0.2790241149
67	0.2788901907
68	0.2786086669
69	0.278501675
70	0.278373871
71	0.2780954044
72	0.2780458899
73	0.2778785463
74	0.2775235348
75	0.277411406
76	0.2772056225
77	0.2771403114
78	0.2768160044
79	0.2767144045
80	0.2764316103
81	0.2762730235
82	0.276116228
83	0.2760686899
84	0.2759253388
85	0.2755402754
86	0.2753120512
87	0.275143931
88	0.275083635
89	0.2749354122
90	0.2747720385
91	0.2747012162
92	0.2745934356
93	0.2743696997
